k,inertia,silhouette
2,54.18859100341797,0.76064277
3,40.935096740722656,0.25774896
4,35.870426177978516,0.2522713
5,32.12036895751953,0.19446488
6,29.033554077148438,0.19135979
7,26.943252563476562,0.14607279
8,25.078475952148438,0.1384751
9,23.903610229492188,0.1431301
10,22.826614379882812,0.12238097
11,21.346864700317383,0.124823116
12,21.13449478149414,0.11925289
13,20.15690040588379,0.10394035
14,19.243988037109375,0.116373435
15,18.657835006713867,0.11870194
16,17.927230834960938,0.09374639
17,17.29462432861328,0.08928104
18,16.762338638305664,0.0856747
19,16.187301635742188,0.0893073
20,16.301820755004883,0.08791587
21,15.432525634765625,0.080581054
22,15.065384864807129,0.08217002
23,14.224236488342285,0.09335525
