exercise,class,selected_k
IRDS_clf_bn_EFL,1,3
IRDS_clf_bn_EFL,2,3
IRDS_clf_bn_EFR,1,3
IRDS_clf_bn_EFR,2,3
IRDS_clf_bn_SAL,1,3
IRDS_clf_bn_SAL,2,3
IRDS_clf_bn_SAR,1,3
IRDS_clf_bn_SAR,2,3
IRDS_clf_bn_SAR,2,3
IRDS_clf_bn_SAR,2,3
IRDS_clf_bn_SFE,1,2
IRDS_clf_bn_SFE,2,2
IRDS_clf_bn_SFL,1,3
IRDS_clf_bn_SFL,2,3
IRDS_clf_bn_SFR,1,3
IRDS_clf_bn_SFR,2,3
IRDS_clf_bn_STL,1,3
IRDS_clf_bn_STL,2,3
IRDS_clf_bn_STR,1,3
IRDS_clf_bn_STR,2,2
KERAAL_clf_mc_CTK,C,3
KERAAL_clf_mc_CTK,E1,3
KERAAL_clf_mc_CTK,E2,3
KERAAL_clf_mc_CTK,E3,2
KERAAL_clf_mc_ELK,C,2
KERAAL_clf_mc_ELK,E1,2
KERAAL_clf_mc_ELK,E2,2
KERAAL_clf_mc_ELK,E3,3
KERAAL_clf_mc_RTK,C,2
KERAAL_clf_mc_RTK,E1,2
KERAAL_clf_mc_RTK,E2,2
KERAAL_clf_mc_RTK,E3,2
KINECAL_clf_bn_3WFV,0,3
KINECAL_clf_bn_3WFV,1,3
KINECAL_clf_bn_GGFV,0,3
KINECAL_clf_bn_GGFV,1,2
KINECAL_clf_bn_QSEC,0,4
KINECAL_clf_bn_QSEC,1,2
KINECAL_clf_bn_QSEO,0,5
KINECAL_clf_bn_QSEO,1,2
SPHERE_clf_bn_WUS,0.0,2
SPHERE_clf_bn_WUS,1.0,4
UCDHE_clf_mc_MP,a,2
UCDHE_clf_mc_MP,arch,3
UCDHE_clf_mc_MP,n,3
UCDHE_clf_mc_MP,r,2
UCDHE_clf_mc_Rowing,a,2
UCDHE_clf_mc_Rowing,ext,12
UCDHE_clf_mc_Rowing,n,12
UCDHE_clf_mc_Rowing,r,14
UCDHE_clf_mc_Rowing,rb,8













